sample_id	tested_genes	min_empirical_p_value	min_by_q_value	significant_gene_count_by_0_05	absolute_significant_gene_count_by_alpha	min_absolute_by_adj_p_value
sample_43	18495	0.01020408163265306	1.0	0	1849	1.40398328376516e-48
sample_44	18481	0.01020408163265306	1.0	0	1611	7.772217286458215e-182
sample_45	18516	0.01	1.0	0	2220	1.0125028184447568e-86
sample_46	18518	0.01020408163265306	1.0	0	2066	3.324889791179788e-128
sample_47	18537	0.010101010101010102	1.0	0	2050	5.323256465513529e-38
sample_48	18462	0.010101010101010102	1.0	0	2564	1.2903893694510763e-186
sample_49	18497	0.01020408163265306	1.0	0	2378	1.2324282497523625e-150
sample_5	18479	0.01020408163265306	1.0	0	2806	2.1333341107113604e-76
sample_50	18539	0.010101010101010102	1.0	0	1884	1.3917844556508636e-136
sample_51	18508	0.01020408163265306	1.0	0	1639	3.234672249439655e-57
sample_52	18503	0.010101010101010102	1.0	0	1642	8.260953634486054e-88
sample_53	18547	0.01020408163265306	1.0	0	1383	7.27087180386009e-53
sample_54	18533	0.01020408163265306	1.0	0	1162	7.98699273964007e-66
sample_55	18526	0.010309278350515464	1.0	0	1670	8.744489751827654e-63
sample_56	18541	0.010309278350515464	1.0	0	2072	8.403266013539888e-138
sample_57	18526	0.01020408163265306	1.0	0	2402	2.3562049725436637e-170
sample_58	18524	0.010101010101010102	1.0	0	1772	3.35967856957405e-55
sample_59	18510	0.010101010101010102	1.0	0	2200	1.0154707039843801e-88
sample_6	18536	0.01020408163265306	1.0	0	1509	1.6919095448593867e-46
sample_60	18566	0.010101010101010102	1.0	0	1586	4.315681291990287e-229
sample_61	18519	0.010309278350515464	1.0	0	2335	9.705006926048918e-59
sample_62	18469	0.010101010101010102	1.0	0	1663	9.078633740529315e-33
sample_63	18526	0.010101010101010102	1.0	0	3668	2.7884943083449816e-144
sample_64	18505	0.010101010101010102	1.0	0	1845	1.3801081604986556e-89
sample_65	18547	0.010309278350515464	1.0	0	1863	4.0541104052967275e-61
sample_66	18536	0.010101010101010102	1.0	0	2884	8.444509422156798e-79
sample_67	18542	0.01020408163265306	1.0	0	2294	4.28809458734698e-82
sample_68	18509	0.010101010101010102	1.0	0	1457	6.65178481470313e-48
sample_69	18530	0.01020408163265306	1.0	0	2367	4.368703196988222e-110
sample_7	18505	0.010101010101010102	1.0	0	2452	2.382613791133357e-77
sample_70	18554	0.01020408163265306	1.0	0	1956	9.554562368779652e-70
sample_71	18544	0.010309278350515464	1.0	0	1930	2.5949218250068453e-60
sample_72	18550	0.010101010101010102	1.0	0	1542	2.7359117320878735e-39
sample_73	18547	0.01	1.0	0	1787	7.731641916246013e-52
sample_74	18555	0.010309278350515464	1.0	0	2210	4.286661234014419e-88
sample_75	18580	0.01020408163265306	1.0	0	2069	2.151396247902295e-58
sample_76	18515	0.010526315789473684	1.0	0	1896	5.97951697179108e-60
sample_77	18474	0.01020408163265306	1.0	0	2003	1.5071295562022523e-73
sample_78	18581	0.010101010101010102	1.0	0	1772	6.4985986885175445e-109
sample_79	18500	0.010101010101010102	1.0	0	2163	2.5704218783029944e-76
sample_8	18508	0.010101010101010102	1.0	0	3190	3.5564937940757857e-110
sample_80	18560	0.010101010101010102	1.0	0	3899	3.196404365222564e-81
sample_81	18546	0.010309278350515464	1.0	0	2024	1.869690997131846e-46
sample_82	18505	0.01020408163265306	1.0	0	1202	9.534060516662234e-57
sample_83	18521	0.010101010101010102	1.0	0	1816	7.384266470292158e-82
sample_84	18546	0.010526315789473684	1.0	0	2294	5.146681107754133e-57
sample_85	18527	0.010101010101010102	1.0	0	2141	1.3367230901233897e-84
sample_86	18564	0.01020408163265306	1.0	0	2472	1.3974861738054312e-61
sample_87	18497	0.010101010101010102	1.0	0	1467	3.8522977606560175e-78
sample_88	18502	0.01020408163265306	1.0	0	2261	3.1081475723185834e-183
sample_89	18531	0.01	1.0	0	2166	2.9923113461147346e-79
sample_9	18558	0.010101010101010102	1.0	0	5262	0.0
sample_90	18511	0.01020408163265306	1.0	0	1876	3.0829282814781406e-66
sample_91	18522	0.01020408163265306	1.0	0	1343	1.1452695771642665e-68
sample_92	18463	0.010101010101010102	1.0	0	2227	2.3144558048534054e-116
sample_93	18555	0.010101010101010102	1.0	0	1820	6.730538448490414e-137
sample_94	18489	0.010101010101010102	1.0	0	1171	0.0
sample_95	18510	0.010101010101010102	1.0	0	1834	3.5280973467428045e-54
sample_96	18513	0.01020408163265306	1.0	0	1861	2.4748920704080564e-103
sample_97	18511	0.010101010101010102	1.0	0	2096	1.3903448222726182e-153
sample_98	18538	0.01	1.0	0	5566	1.6350291725602162e-212
sample_99	18536	0.010638297872340425	1.0	0	1748	2.7448142365494143e-62
